Raf	Mek	Plcg	PIP2	PIP3	Erk	Akt	PKA	PKC	P38	Jnk
1.301	1.246	0.777	0.840	1.049	0.562	1.017	2.742	1.041	1.348	1.332
1.863	1.699	1.461	1.508	1.274	1.009	1.253	2.504	0.926	1.230	1.625
2.207	1.949	1.290	2.152	0.777	1.265	1.391	2.848	0.695	1.290	1.093
1.496	1.496	1.274	1.238	0.270	1.336	1.695	3.156	1.149	1.465	1.480
1.433	1.453	1.207	1.312	1.281	1.167	1.413	2.797	0.000	1.664	0.489
2.312	2.137	1.281	1.230	0.918	1.430	1.774	2.980	0.886	1.207	1.456
1.676	1.585	1.391	1.496	0.000	1.758	1.973	3.281	1.033	1.238	1.276
1.723	1.496	1.652	2.422	1.480	1.083	1.555	3.101	1.143	1.446	1.336
2.215	1.942	1.344	1.422	0.292	1.083	1.143	2.727	1.097	1.504	1.410
1.746	1.468	1.520	2.797	1.617	1.049	1.375	2.894	0.969	1.196	1.559
1.602	1.644	1.805	2.539	1.856	1.104	1.465	2.762	1.223	1.617	1.727
1.933	1.851	1.281	1.449	1.017	1.504	1.758	3.199	0.965	1.137	1.535
1.676	1.520	1.816	2.149	1.290	1.524	1.664	2.629	1.140	1.480	1.305
1.574	1.449	1.143	1.531	0.593	1.053	1.340	3.063	0.969	1.316	1.382
1.427	1.176	0.992	2.188	0.848	1.410	1.598	2.512	1.167	1.473	1.723
1.579	1.468	1.438	1.382	0.124	1.188	1.493	2.738	0.883	0.980	1.316
1.468	1.352	1.660	2.516	1.332	1.976	2.230	3.336	0.856	1.316	1.489
1.520	1.422	1.332	1.707	0.844	2.068	2.130	2.648	1.695	2.037	2.013
1.582	1.258	1.000	1.310	0.933	1.086	1.504	2.894	0.985	1.453	1.356
1.566	1.387	1.196	1.648	0.750	1.375	1.640	3.008	2.037	2.449	2.550
1.613	1.504	1.301	2.021	1.225	1.531	1.832	3.215	1.204	1.562	1.508
2.149	1.883	1.394	1.555	0.531	0.656	1.009	2.965	0.965	1.352	1.413
1.632	1.555	1.167	2.093	1.297	1.480	1.688	3.043	0.473	1.121	1.265
1.824	1.480	0.000	1.155	0.856	1.610	1.809	2.652	0.000	0.793	0.593
1.449	1.093	1.394	1.352	0.785	1.164	1.610	2.711	0.922	1.320	1.382
1.328	1.348	1.727	2.528	1.832	0.867	0.930	2.524	0.832	1.176	1.130
1.456	1.352	1.025	1.281	1.297	1.781	2.167	3.406	1.238	1.621	1.832
2.352	2.173	0.973	1.053	1.017	1.394	1.777	3.215	0.000	1.117	1.238
2.155	2.207	1.430	1.207	1.068	0.926	1.413	2.903	1.367	1.679	1.598
1.512	1.441	1.301	1.754	0.738	1.484	1.660	3.082	1.441	1.812	2.117
1.610	1.332	1.336	1.707	1.053	1.453	1.625	2.762	0.301	1.253	1.204
1.727	1.676	1.465	1.676	1.114	0.973	1.371	3.039	0.025	2.076	0.840
1.933	1.664	1.766	2.550	1.793	1.114	1.446	2.668	1.516	1.996	1.777
1.715	1.574	1.727	2.297	1.851	0.965	1.258	2.727	1.286	1.468	1.738
1.828	1.859	1.021	2.076	0.715	1.367	1.613	2.801	1.676	2.117	2.422
1.477	1.484	0.418	0.516	0.000	0.707	1.104	2.851	0.910	1.185	1.124
1.382	1.262	1.253	1.988	0.851	1.801	2.049	3.281	1.246	1.446	1.547
1.508	1.281	1.155	1.886	1.083	1.243	1.480	2.750	1.262	1.699	1.797
1.559	1.500	1.352	1.613	1.004	1.093	1.446	2.985	1.274	1.758	1.809
1.859	1.731	1.394	1.316	0.593	1.212	1.461	3.113	1.707	1.926	1.953
1.543	1.410	1.310	1.910	0.473	1.332	1.703	3.066	0.824	1.484	1.371
2.179	1.906	1.636	1.672	1.196	1.301	1.691	2.848	0.942	1.053	1.176
1.531	1.188	1.225	1.762	0.879	1.547	1.695	3.246	0.969	1.456	1.433
2.017	1.914	1.090	0.076	1.340	1.230	1.367	2.719	1.149	1.422	1.433
1.945	1.555	1.301	2.117	1.057	1.539	1.742	3.058	1.179	1.535	1.433
2.029	1.750	1.292	2.290	1.185	1.468	1.668	2.805	0.922	1.324	1.143
0.543	0.644	1.413	1.427	0.312	1.301	1.610	2.918	0.903	1.449	1.446
1.703	1.524	1.715	2.585	1.762	1.223	1.360	2.688	0.621	1.258	1.508
1.898	1.750	0.679	1.820	0.801	1.598	1.898	3.398	1.398	1.793	1.859
1.711	1.438	1.816	2.621	1.774	1.391	1.621	2.903	1.143	1.528	1.493
1.684	1.524	1.398	1.456	0.785	0.593	0.949	2.199	0.516	1.104	1.286
1.886	1.703	1.276	2.176	1.029	1.465	1.691	2.942	0.933	2.301	0.859
1.613	1.441	1.301	1.207	0.117	1.137	1.632	2.785	1.566	1.886	2.083
1.699	1.403	1.223	1.906	0.926	1.344	1.566	2.766	0.879	1.025	1.364
1.758	1.550	1.797	2.640	1.691	0.656	1.179	2.906	1.676	1.774	1.155
1.531	1.204	1.083	2.461	1.356	1.250	1.316	2.703	1.124	1.473	1.512
1.504	1.371	1.403	1.371	0.520	1.029	1.391	2.930	1.076	1.356	0.867
1.598	1.449	1.258	1.461	1.320	1.281	1.473	2.746	1.270	1.816	1.863
1.945	1.805	1.894	2.528	1.711	1.453	1.648	2.918	1.253	1.719	1.742
1.816	1.632	1.367	1.352	1.100	1.130	1.281	2.644	0.785	1.367	1.535
2.033	1.856	1.225	2.262	1.378	1.207	1.477	2.602	1.134	1.332	1.644
1.446	1.418	1.149	2.465	1.407	1.143	1.585	2.863	0.758	1.367	1.427
2.057	1.844	1.086	2.324	1.013	1.805	1.992	3.219	1.049	1.387	1.477
1.688	1.461	1.508	1.496	1.230	1.516	1.762	3.113	1.281	1.695	1.738
1.613	1.258	1.164	1.344	0.000	1.387	1.590	2.774	0.980	1.253	0.863
1.543	1.292	1.305	1.117	0.000	1.742	2.061	3.266	0.848	1.403	1.559
1.243	1.061	1.465	1.274	0.774	1.441	1.688	2.879	1.441	1.809	1.816
1.832	1.856	1.258	1.152	0.961	1.593	1.679	2.973	1.176	1.543	1.734
2.230	2.021	1.258	1.742	0.758	1.691	1.863	2.918	1.013	1.305	1.648
1.504	1.407	1.473	1.394	0.422	0.000	1.009	1.590	0.918	1.079	1.524
1.504	1.356	1.100	2.332	1.276	1.274	1.579	2.836	0.391	1.766	0.832
1.465	1.360	1.320	1.871	0.605	1.079	1.449	2.617	0.762	1.225	1.140
1.574	1.352	1.225	2.179	1.086	2.053	2.356	3.422	0.953	1.173	0.636
1.910	1.785	1.134	1.812	1.045	1.253	1.769	2.699	1.190	1.407	1.456
1.890	1.742	1.262	2.104	1.076	1.742	1.926	3.023	1.664	1.973	2.021
1.441	1.276	1.324	1.875	1.276	1.207	1.465	3.066	1.468	1.816	1.910
1.879	1.579	1.009	0.953	0.886	1.009	1.449	2.664	1.360	1.632	1.809
1.679	1.489	1.418	1.579	0.777	0.875	0.848	2.617	1.555	1.918	2.204
2.250	2.033	1.734	2.438	1.473	1.613	1.851	3.285	0.906	1.281	1.456
1.863	1.640	1.418	2.535	1.625	1.695	1.906	3.051	1.265	1.636	1.820
1.535	1.328	0.632	1.130	0.969	0.992	1.410	2.812	0.000	1.809	0.636
1.691	1.076	1.805	2.648	1.820	1.484	1.707	2.640	0.988	1.188	1.188
1.707	1.566	1.336	2.438	1.305	1.090	1.332	2.691	1.037	1.524	1.656
1.562	1.320	1.316	1.836	1.387	1.886	2.041	2.571	0.988	1.173	1.422
1.867	1.225	1.512	1.382	0.000	1.535	1.742	2.754	0.980	1.348	1.312
1.629	1.456	1.270	1.579	1.130	0.985	1.391	2.555	0.719	1.262	1.134
1.961	1.742	1.262	2.292	1.025	1.528	1.707	2.816	1.025	1.438	1.636
2.143	1.976	1.320	1.867	1.009	1.446	1.684	3.078	1.196	1.559	1.664
1.793	1.613	1.438	1.352	0.253	0.926	1.316	2.723	1.079	1.378	1.100
1.805	1.613	1.348	1.173	0.037	1.484	1.812	3.266	1.124	1.531	1.403
1.953	1.914	1.097	1.438	1.004	1.238	1.493	2.945	1.217	1.672	1.836
1.430	1.378	1.140	1.812	1.037	1.422	1.632	2.664	0.816	1.410	1.516
2.049	1.840	1.367	1.660	1.033	1.456	1.777	3.129	0.489	0.930	0.894
1.840	1.566	1.430	1.286	0.867	1.253	1.524	3.000	1.072	1.223	1.413
1.461	1.262	1.644	2.636	1.828	1.324	1.473	2.652	1.041	1.559	1.629
1.449	1.114	0.903	2.161	1.212	1.230	1.535	2.812	1.072	1.480	1.723
1.367	1.117	1.914	2.378	1.418	1.489	1.703	2.980	1.225	1.430	1.270
2.258	1.988	1.352	2.021	1.111	0.000	0.824	0.000	0.933	1.320	1.053
2.134	1.942	1.149	2.207	1.340	1.352	1.636	3.477	1.037	1.403	1.446
1.684	1.332	1.332	1.324	0.961	0.820	1.360	2.758	1.547	1.851	2.167
1.719	1.449	1.236	2.403	1.504	1.629	1.867	2.859	0.617	1.574	1.204
1.496	1.274	1.734	2.477	1.625	1.512	1.766	3.289	0.281	0.731	1.196
1.644	1.265	1.371	1.356	0.820	1.360	1.566	2.695	1.204	1.531	1.161
1.644	1.625	1.161	2.310	1.140	1.316	1.629	2.707	1.124	1.593	1.789
1.504	1.217	1.111	2.164	1.449	1.781	2.025	3.250	1.691	2.137	2.312
1.574	1.403	1.328	1.605	1.025	1.114	1.738	2.559	1.500	1.820	1.856
2.061	1.992	1.312	1.188	1.017	1.371	1.805	3.563	1.072	1.352	1.265
1.446	1.438	1.508	2.438	1.539	1.286	1.473	2.328	0.398	2.041	0.942
1.535	1.290	1.352	2.312	1.250	1.215	1.473	2.723	1.336	1.617	1.017
2.072	1.890	1.217	2.049	1.336	0.848	0.571	2.883	1.093	1.320	1.559
1.524	1.124	1.531	1.613	1.033	1.029	1.456	2.938	1.037	1.413	1.301
1.332	1.559	1.555	2.149	1.468	1.559	1.809	3.539	1.061	1.484	1.636
1.871	1.621	1.688	2.403	1.465	1.332	1.668	2.812	0.836	1.265	1.656
1.571	1.276	1.344	1.045	0.945	1.225	2.017	3.348	1.274	1.836	1.789
1.456	1.500	1.610	2.636	1.754	0.535	1.093	2.953	0.758	1.453	1.137
1.621	1.410	1.320	1.149	0.731	1.111	1.547	2.559	1.117	1.336	1.332
2.438	2.292	1.348	1.640	0.922	0.828	1.364	3.043	0.953	1.410	1.236
1.441	1.407	1.297	1.566	0.734	1.100	1.312	2.750	1.093	1.668	1.719
2.083	1.903	1.473	1.378	1.161	1.410	1.512	2.828	0.985	1.188	1.520
2.375	2.230	1.848	2.382	1.617	1.574	1.731	2.508	0.965	1.199	1.199
1.684	1.378	1.274	1.629	0.816	1.605	1.703	2.656	1.310	1.520	1.723
2.212	2.057	1.387	1.387	1.155	1.691	1.856	2.777	1.695	1.985	2.021
2.382	2.179	1.297	1.199	0.890	1.149	1.427	2.789	1.004	1.574	1.632
1.871	1.769	1.104	2.176	0.910	1.057	1.356	2.742	0.949	1.336	1.265
1.781	1.610	1.652	2.378	1.605	0.727	1.236	2.871	0.953	1.236	1.571
1.508	1.223	1.520	2.493	1.660	1.574	1.801	2.844	1.097	1.559	1.754
1.715	1.574	1.262	1.387	0.711	1.270	1.312	2.504	0.797	1.057	1.555
2.124	1.906	1.453	1.566	0.820	1.579	1.715	2.535	2.045	2.520	2.550
1.535	1.236	1.621	2.438	1.391	1.367	1.550	2.734	1.086	1.512	1.427
1.598	1.477	1.465	2.382	1.555	0.903	1.410	2.660	0.394	1.316	1.161
1.535	1.243	1.403	1.276	1.134	1.274	1.531	2.848	0.938	1.340	1.117
1.496	1.535	1.253	1.246	1.111	0.312	0.922	2.585	1.707	2.068	2.179
1.903	1.695	1.547	1.593	0.969	1.164	1.316	2.727	0.672	1.161	1.258
2.086	2.155	1.438	1.524	0.836	1.340	1.496	2.738	0.945	1.398	1.364
1.579	1.312	1.297	1.832	1.188	1.863	2.093	3.379	0.910	1.068	1.310
2.072	1.809	1.281	2.140	1.188	1.461	1.461	2.816	1.097	1.473	1.394
1.590	1.161	1.199	1.781	1.579	1.422	1.660	2.890	1.033	1.185	1.207
1.965	1.621	1.422	1.438	0.754	0.969	1.566	2.632	1.723	2.097	2.348
1.520	1.164	1.493	1.086	0.957	0.886	1.137	2.407	1.204	1.387	1.574
1.550	1.441	1.173	2.114	1.274	1.072	1.217	2.699	0.859	1.290	1.238
1.774	1.489	0.774	1.468	0.965	2.004	2.207	3.250	1.117	1.344	1.449
1.894	1.715	1.360	1.375	1.017	0.731	0.988	2.766	0.824	1.152	1.188
2.164	1.938	0.000	2.000	1.286	1.149	1.438	2.688	1.173	1.524	1.625
1.430	1.152	1.185	1.656	1.000	1.212	1.453	2.809	1.438	1.750	1.903
1.496	1.292	1.236	1.933	1.068	1.465	1.774	2.961	0.996	1.398	1.161
1.489	1.394	1.324	1.961	1.292	1.176	1.617	2.715	1.528	1.926	1.910
1.996	1.988	1.382	1.305	0.953	1.550	1.766	3.371	0.871	1.387	1.270
1.489	1.352	1.041	1.797	0.781	1.539	1.781	3.168	1.025	1.441	1.598
1.446	1.176	1.290	1.367	1.152	1.274	1.613	3.094	0.625	0.914	1.188
1.566	1.496	1.832	2.456	1.738	1.688	1.785	2.582	1.348	1.781	1.863
2.037	1.922	1.774	2.484	1.695	1.555	1.832	3.578	1.340	1.679	1.632
1.648	1.449	0.879	2.164	1.292	1.190	1.468	2.754	0.723	1.427	1.243
1.579	1.305	1.617	1.629	1.164	1.057	1.441	2.632	1.508	1.930	2.049
1.727	1.582	1.403	2.029	1.121	0.918	1.155	2.422	1.090	1.382	1.512
2.212	1.965	1.312	1.512	0.840	1.367	1.528	2.543	0.297	1.933	0.867
1.524	1.433	1.212	2.152	0.965	2.025	2.281	3.328	1.000	1.332	1.378
1.535	1.121	1.324	1.394	1.086	1.410	1.715	2.715	1.017	1.364	1.477
1.270	0.734	1.305	1.352	0.652	1.610	1.797	2.840	1.438	1.723	1.785
1.571	1.364	0.883	1.352	1.121	1.898	2.167	3.277	0.867	1.413	1.433
1.427	1.196	1.449	2.524	1.684	1.149	1.324	2.957	0.769	1.453	1.340
2.152	1.992	1.774	2.593	1.648	1.856	2.090	3.246	1.535	2.072	2.137
1.719	1.531	1.430	1.382	0.758	1.579	1.769	3.164	0.844	1.344	1.441
1.504	1.225	1.508	1.668	1.196	1.037	1.438	2.949	1.262	1.413	1.769
2.025	1.836	1.093	2.243	1.225	1.090	1.605	2.836	0.942	1.453	0.996
1.629	1.328	1.320	2.117	1.083	1.104	1.500	2.688	0.930	1.276	1.316
1.543	1.215	1.250	1.274	0.332	1.539	1.774	2.648	1.731	1.894	1.305
1.504	1.422	1.149	1.305	0.664	1.093	1.276	2.903	0.856	1.286	1.348
1.562	1.316	1.468	1.562	1.328	0.316	0.996	1.427	1.484	1.703	0.985
1.441	1.190	1.433	1.555	1.025	1.801	1.980	3.078	1.134	1.253	1.340
1.418	1.320	1.356	1.004	0.871	1.188	1.571	2.636	1.033	1.161	0.918
1.207	1.398	1.258	1.539	0.652	0.547	1.134	2.848	1.061	1.430	1.574
1.543	1.207	1.734	2.750	1.856	1.114	1.441	2.867	0.988	1.265	1.276
2.185	1.914	1.524	1.688	0.918	1.076	1.456	2.851	1.207	1.672	1.562
2.111	2.207	1.734	1.898	1.371	1.543	1.848	3.445	0.816	0.883	1.531
1.524	1.243	1.378	1.217	0.000	0.898	1.332	2.762	0.875	1.480	1.382
1.504	1.524	1.812	2.676	1.886	1.605	1.668	3.070	0.965	1.190	1.100
1.413	1.223	1.167	2.336	1.566	1.942	2.179	3.453	0.543	1.711	0.344
1.992	1.832	1.045	1.898	0.781	0.980	1.328	2.672	1.711	1.969	2.250
1.742	1.496	1.727	2.403	1.707	1.121	1.407	3.070	1.086	1.418	1.489
1.413	1.305	1.017	2.253	1.250	1.185	1.566	3.063	0.617	1.152	0.903
1.656	1.493	1.364	1.477	1.083	0.922	1.391	2.758	0.996	1.276	1.316
1.731	1.500	1.473	1.602	1.161	1.758	1.949	3.277	1.140	1.547	1.598
1.640	1.539	1.394	1.167	0.769	1.461	1.828	3.106	1.352	1.629	1.805
2.292	2.053	1.152	1.965	0.382	1.068	1.176	2.805	0.879	1.344	1.413
1.489	1.316	1.453	1.477	1.104	1.134	1.217	2.707	1.025	1.394	1.262
1.328	1.371	1.262	1.930	0.867	1.352	1.574	2.668	1.461	1.754	1.805
1.539	1.250	1.410	1.484	0.656	1.212	1.500	2.789	0.930	1.111	1.225
1.480	1.238	1.789	2.086	1.859	0.980	1.422	2.766	0.875	1.360	1.140
1.480	1.403	1.750	2.758	1.875	1.025	1.375	2.652	1.121	1.493	1.590
1.480	1.072	1.332	1.407	1.061	0.828	1.286	2.310	0.738	1.121	1.375
2.121	1.980	1.281	1.375	1.049	1.550	1.727	3.058	1.403	1.781	2.090
1.695	1.598	1.574	1.731	1.143	0.890	1.344	1.758	1.340	1.695	1.848
1.524	1.204	1.364	1.508	0.930	1.473	1.602	2.746	1.124	0.957	1.000
1.672	1.679	1.199	2.068	1.167	1.387	1.559	3.000	1.021	1.579	1.976
1.859	1.410	1.114	0.500	0.898	1.579	2.061	2.992	1.230	1.579	1.621
2.143	1.961	1.290	1.848	0.859	1.114	1.352	2.617	0.848	1.312	0.407
1.524	1.356	1.217	1.262	1.061	1.465	1.734	2.636	1.212	1.621	1.875
1.965	1.903	2.033	2.344	3.035	2.083	2.312	3.398	1.021	1.204	1.407
1.512	1.375	1.449	1.449	1.352	1.496	1.652	2.785	1.265	1.727	2.061
1.547	1.270	1.316	1.382	0.610	1.111	1.422	2.731	0.969	1.441	1.781
2.140	2.021	0.394	1.185	0.976	0.093	0.719	1.793	0.930	1.574	1.418
1.574	1.364	1.124	2.465	0.863	0.973	1.582	3.238	0.973	1.238	1.410
1.579	0.938	1.238	1.524	0.898	1.305	1.660	3.355	0.918	1.356	1.161
1.875	1.707	1.215	1.473	0.961	1.785	2.033	3.145	0.863	1.238	1.605
1.582	1.418	1.477	1.441	0.812	1.305	1.394	2.707	1.236	1.547	1.250
1.427	1.270	1.688	1.644	0.579	1.149	1.212	2.898	0.903	1.320	1.340
1.484	1.360	1.344	1.433	0.809	1.777	2.053	3.191	0.378	1.914	0.305
1.777	1.672	1.274	2.286	1.508	1.021	1.413	2.824	1.130	1.516	1.691
1.579	1.356	1.555	2.438	1.520	0.468	1.215	2.812	1.332	1.684	1.621
1.559	1.243	1.679	2.204	1.320	1.774	2.004	3.145	1.068	1.320	1.312
1.636	1.433	1.524	1.480	1.076	0.988	1.316	2.332	0.484	1.320	0.000
1.660	1.407	1.199	2.276	0.918	1.719	1.926	3.152	1.053	1.632	1.559
1.500	1.446	1.270	1.762	1.117	0.867	1.021	2.441	0.812	1.207	1.547
2.301	1.980	0.933	1.215	0.559	1.562	1.832	2.996	0.996	1.360	1.068
1.543	1.190	1.375	1.903	1.207	1.559	1.762	3.058	0.738	1.292	1.427
2.250	1.996	1.167	1.382	1.009	1.152	1.179	2.754	2.025	2.179	1.477
1.976	1.582	1.207	2.324	1.508	1.204	1.461	2.731	0.973	1.292	0.996
1.387	1.265	1.196	1.262	0.528	1.111	1.520	2.875	0.918	1.185	1.090
1.742	1.742	0.926	2.164	1.332	1.134	1.446	2.812	0.856	1.336	1.367
1.707	1.676	1.310	1.391	0.305	1.009	1.449	2.992	1.199	1.711	1.886
1.734	1.535	1.079	2.143	1.292	1.090	1.274	2.793	0.797	1.274	1.579
1.613	1.430	1.301	1.238	0.890	1.398	1.562	2.812	1.068	1.179	1.274
1.433	1.433	1.253	1.243	0.805	0.793	1.344	2.571	1.049	1.403	1.676
1.562	1.403	1.430	2.407	1.310	1.863	2.188	3.492	1.004	1.585	1.613
1.430	1.265	1.679	2.348	1.684	1.297	1.617	3.113	1.037	1.500	1.504
2.049	1.906	1.356	1.413	1.013	1.100	1.480	2.676	0.617	1.225	1.215
1.477	1.246	1.312	1.382	0.029	1.969	2.246	3.527	1.009	1.394	1.711
1.461	1.320	1.441	1.543	1.029	1.336	1.644	3.031	0.836	1.037	1.516
1.555	1.348	1.188	2.196	1.316	0.100	1.367	1.238	0.805	1.274	1.316
2.316	2.143	1.072	2.152	1.297	1.225	1.539	2.750	0.992	1.274	1.528
1.477	1.520	1.072	1.585	1.167	0.832	1.262	3.066	0.875	1.000	1.179
1.461	1.185	1.617	2.152	1.550	1.207	1.539	2.679	0.579	1.382	1.382
1.652	1.391	1.310	1.332	1.394	0.801	1.344	2.886	1.371	1.629	1.875
1.176	0.848	1.276	2.375	1.367	2.387	2.676	3.742	1.155	1.441	1.766
1.621	1.364	1.286	2.199	1.176	1.484	1.668	2.684	0.996	1.382	1.461
1.493	1.301	1.083	2.196	1.199	1.976	2.134	3.020	1.021	1.528	1.711
1.422	1.324	1.225	1.758	0.945	1.574	1.769	2.719	0.688	1.535	1.413
1.840	1.579	1.297	1.230	0.104	1.449	1.684	2.809	0.930	1.473	1.418
1.738	1.562	0.848	0.949	0.738	0.801	0.660	2.176	0.856	1.348	0.816
1.413	1.124	1.953	2.625	1.863	1.480	1.652	2.820	1.013	1.441	1.617
1.504	1.215	1.828	2.246	1.378	1.754	1.988	3.101	1.121	1.155	1.427
1.691	1.636	1.493	1.516	1.250	1.292	1.625	2.777	0.610	1.223	1.387
1.453	1.305	0.961	2.217	1.097	1.137	1.446	2.605	1.025	1.310	1.371
1.629	1.520	1.461	1.391	1.025	1.086	1.305	2.703	0.774	1.190	0.610
1.468	1.407	1.086	1.879	1.079	1.276	1.625	3.344	1.072	1.449	1.348
1.535	1.246	1.292	1.316	1.149	1.480	1.613	2.496	0.961	1.290	1.173
1.524	1.456	1.057	2.276	1.152	1.190	1.468	2.734	0.930	1.155	1.441
1.840	1.734	1.290	1.212	1.045	1.057	1.394	2.758	1.053	1.433	1.774
2.121	1.926	1.364	1.320	0.512	1.332	1.531	2.559	0.867	1.446	1.566
0.057	0.324	1.371	1.290	0.000	1.382	1.668	2.988	1.851	2.265	2.316
1.413	1.121	1.340	1.382	1.328	1.777	1.965	3.137	0.890	1.316	1.430
1.520	1.348	1.676	2.149	1.593	1.433	1.703	3.000	0.000	1.875	0.886
2.086	1.879	1.312	1.625	0.812	1.691	2.079	3.121	0.961	1.204	1.348
1.894	1.750	0.731	2.164	0.945	1.033	1.418	2.621	1.328	1.695	1.812
1.801	1.707	1.769	2.590	1.774	1.336	1.528	2.933	1.134	1.382	1.137
1.598	1.310	1.149	2.004	1.072	1.114	1.360	2.711	0.820	1.204	1.528
2.310	2.140	1.243	2.281	1.407	0.742	1.164	2.961	0.605	1.274	1.480
1.352	1.230	1.223	1.914	1.274	1.571	1.789	3.074	1.029	1.356	1.456
1.605	1.336	1.433	2.473	1.427	1.602	1.793	3.023	0.996	1.356	1.555
2.371	2.130	1.727	2.555	1.731	1.076	1.394	2.828	1.382	1.789	1.898
1.382	1.114	1.859	2.528	1.933	0.004	0.387	2.199	0.793	1.185	1.236
1.352	1.324	1.367	1.785	0.883	2.013	2.407	3.574	1.097	1.413	1.348
2.033	2.025	1.590	2.407	1.742	1.746	1.942	3.145	0.957	1.593	1.427
1.727	1.582	1.477	1.562	0.945	1.143	1.367	2.766	0.750	1.301	1.364
2.121	1.777	1.559	2.204	1.652	0.938	1.562	2.555	0.973	1.438	1.253
1.976	1.809	1.212	1.225	0.965	1.828	2.021	3.297	1.013	1.352	1.312
2.179	1.992	1.364	1.566	0.149	1.621	1.973	3.191	1.000	1.243	0.068
2.049	1.910	1.276	1.579	1.111	0.985	1.422	3.145	0.727	1.179	1.449
2.079	1.890	1.602	1.793	1.453	1.360	1.566	2.617	1.090	1.137	1.243
1.593	1.543	1.879	2.636	1.863	1.068	1.593	2.652	1.407	1.711	1.879
2.215	2.076	1.134	1.949	1.061	1.332	1.602	2.582	0.828	1.274	1.250
1.473	1.223	1.930	2.438	1.621	1.176	1.407	2.719	1.076	1.465	1.805
1.652	1.684	1.446	1.489	1.290	1.809	2.164	3.320	1.045	1.441	1.371
1.312	1.480	1.364	1.310	0.579	1.301	1.863	2.750	1.480	1.805	2.179
2.236	1.957	1.356	1.212	0.851	1.848	1.953	2.605	0.617	1.356	1.559
1.449	1.387	1.173	1.832	0.188	1.017	1.130	2.812	1.574	1.742	1.164
1.664	1.305	1.258	1.910	0.945	1.262	1.593	2.754	1.057	1.196	1.512
2.167	2.009	0.781	1.310	1.013	1.465	1.676	2.679	0.738	1.164	1.057
1.516	1.449	1.238	1.320	0.582	2.000	2.236	3.426	1.504	1.879	2.029
0.973	1.258	1.152	1.246	0.910	1.049	1.324	2.660	2.061	2.265	1.441
1.543	1.477	1.605	2.590	1.528	1.465	1.910	3.352	0.922	1.100	1.281
1.867	1.762	0.949	2.086	0.781	1.660	1.769	2.762	1.344	1.824	1.793
1.750	1.648	1.258	1.316	0.750	1.029	1.504	2.605	1.041	1.484	1.731
2.004	1.809	1.364	1.992	1.185	1.286	1.582	2.836	1.225	1.438	1.461
1.890	1.640	1.236	1.332	0.707	1.093	1.364	2.976	0.918	1.301	1.185
1.816	1.610	1.243	1.367	1.000	0.871	1.286	3.000	0.352	1.809	0.049
1.456	1.253	1.176	1.715	1.173	0.965	1.539	2.672	0.903	1.097	1.281
1.801	1.456	1.781	2.207	1.562	1.805	1.992	2.949	1.137	1.348	1.340
1.660	1.025	1.258	2.021	1.149	2.025	2.258	3.336	1.164	1.468	1.344
1.703	1.555	1.793	2.489	1.621	1.176	1.410	2.742	0.922	1.265	1.114
1.140	1.262	1.130	1.734	1.340	1.265	1.598	2.816	0.926	1.484	1.535
1.344	1.155	1.851	2.332	1.742	1.225	1.480	2.691	0.820	1.215	1.465
1.602	1.262	1.348	1.465	1.045	1.699	2.004	3.430	0.000	1.938	0.610
1.582	1.137	1.199	1.676	0.695	1.076	1.461	2.672	1.656	1.953	2.057
1.378	1.124	1.719	1.945	1.480	0.684	1.215	2.871	1.225	1.516	1.922
1.957	1.762	1.461	1.367	0.286	1.204	1.555	2.598	1.625	1.980	2.000
1.489	1.328	1.188	2.045	1.310	1.097	1.535	2.668	1.382	1.688	2.041
1.559	1.238	1.190	2.134	1.258	1.265	1.496	2.703	1.617	1.894	2.083
1.531	1.297	1.531	2.292	1.137	0.836	1.290	2.914	1.013	1.364	1.433
2.017	2.021	1.433	2.579	1.816	1.176	1.422	2.805	1.097	1.292	1.199
1.985	1.727	1.344	1.360	0.883	1.504	1.636	2.550	0.883	1.286	1.258
1.914	1.785	0.926	1.953	0.871	1.086	1.265	2.789	1.117	1.668	1.636
1.520	1.316	1.290	1.867	1.079	1.246	1.582	2.590	1.029	1.152	1.328
1.579	1.324	1.410	1.391	0.769	1.480	1.711	2.976	0.816	1.613	1.508
1.562	1.161	1.731	2.617	1.859	1.121	1.493	3.035	1.072	1.699	1.621
1.504	1.391	1.500	1.585	0.797	1.863	2.114	3.324	0.922	1.196	1.243
1.621	1.516	1.140	2.143	1.253	0.930	1.276	2.430	0.083	0.715	0.000
1.625	1.512	1.844	2.021	1.652	1.555	1.930	3.328	0.973	1.480	1.281
1.574	1.367	1.207	2.179	1.207	1.613	1.844	3.106	1.566	1.922	2.236
1.270	1.238	1.985	2.691	2.037	1.076	1.516	2.539	1.270	1.621	1.953
0.965	0.004	1.281	1.332	0.996	1.253	1.640	2.758	1.041	1.528	1.707
1.555	1.316	1.660	2.453	1.504	1.143	1.543	2.679	0.531	0.621	1.520
2.037	1.890	1.493	1.512	1.130	1.152	1.367	2.648	1.746	2.033	1.906
1.215	1.021	1.320	1.173	1.265	1.079	1.644	2.676	1.571	2.004	2.057
1.410	1.164	1.097	1.985	1.310	1.723	1.938	2.890	1.274	1.688	1.539
1.516	1.111	1.167	2.025	1.161	1.185	1.489	2.789	0.000	1.926	0.903
1.378	1.217	1.387	1.152	0.512	1.033	1.699	2.812	1.000	1.382	1.286
